"","key_pin","pi_ns","address","tax_district","classes","subclass2","land_total_sf","gba","market_value","x2026_partial_value","x2026_partial_value_reason","sheet_name","file_name","idph_number","bldg_sf","units_beds","revenue_bed_night","est_pgi","est_vacancy_percent","exp_percent","noi","cap_rate","tax_load","loaded_cap","final_mv_bed","year_blt","investment_rating","adj_rent_sf","pgi","v_c","egi","percent_exp","l_b_ratio","excess_land_area","excess_land_value","final_mv_sf","studios","x1br","x2br","x3br","x4br","mobile_home_pads","comm_sf","adjusted_pgi","final_mv_unit","nbhd","town_region","total_land_val","impr_name","units_keys","rev_key_night","occupancy","rev_par","total_rev","ebitda_noi","final_mv_key"
"11","16-31-314-001-0000","16-31-314-001-0000","6856  OGDEN BERWYN","11002","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","15569","1772","543000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","16-31-316-009-0000","16-31-316-009-0000","3120  RIDGELAND BERWYN","11002","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","20859","3000","1222000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","16-31-324-045-0000","16-31-324-045-0000","3845  HARLEM BERWYN","11002","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","12800","720","502000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","16-31-407-031-0000","16-31-407-031-0000","6400  OGDEN BERWYN","11002","5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","17046","2101","726000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","16-32-121-014-0000","16-32-121-010-0000 16-32-121-011-0000 16-32-121-012-0000 16-32-121-013-0000 16-32-121-014-0000 16-32-121-015-0000 16-32-121-016-0000 16-32-121-017-0000 16-32-121-018-0000","6211  OGDEN BERWYN","11002","5-90 5-90 5-90 5-90 5-23 5-23 5-23 5-23 5-23","80:RETAIL-GAS STATION W/ CONVENIENCE STORE","34923","6913","1844000",NA,NA,"GasStations","Berwyn 2026 T11.PublicModel (1).xlsx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","16-31-308-001-0000","16-31-308-001-0000 16-31-308-002-0000 16-31-308-003-0000 16-31-308-004-0000 16-31-308-005-0000","3601  HARLEM BERWYN","11002","5-97 5-97 5-97 5-97 5-97","103:SPECIAL-NURSING HOME","21751",NA,"8003000",NA,NA,"NursingHomes","Berwyn 2026 T11.PublicModel (1).xlsx","0058537","100607","145","270.595258270656","19141427.689243","0.25","0.9","1435607.07669323","0.09","0.08937300523702","0.17937300523702","55193.1034482759",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","16-19-102-010-0000","16-19-102-009-0000 16-19-102-010-0000 16-19-102-011-0000","7027  ROOSEVELT BERWYN","11011","5-90 5-28 5-28","68:RETAIL-BANKS, SMALL FORMAT","14200",NA,"626000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"2317",NA,NA,NA,NA,NA,"96095.16532","0.075","0.078604778","0.153604778",NA,"2008","B","53.24","123357.08","0.05","117189.226","0.18","8","0","0","270.004361452871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","16-19-105-009-0000","16-19-105-009-0000 16-19-105-010-0000","6903 W ROOSEVELT BERWYN","11011","5-97 5-97","76:RETAIL-SINGLE TENANT","7208",NA,"628000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"6052",NA,NA,NA,NA,NA,"102681.98424","0.085","0.0786049081612643","0.163604908161264",NA,"1940","C","21.78","131812.56","0.05","125221.932","0.18","4","0","0","103.704834962996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","16-19-107-001-0000","16-19-107-001-0000","6823  ROOSEVELT BERWYN","11011","5-97","97:SPECIAL-DAY CARE FACILITY  ALL TYPES","7207",NA,"566000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"4608",NA,NA,NA,NA,NA,"86869.0944","0.075","0.078604778","0.153604778",NA,"1944","B","24.2","111513.6","0.05","105937.92","0.18","4","0","0","122.72925520585",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","16-19-107-008-0000","16-19-107-008-0000 16-19-107-023-0000","6801  ROOSEVELT BERWYN","11011","5-92 5-90","54:OFFICE-MEDICAL OFFICE BUILDINGS/SPACES","10927",NA,"852000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"7857",NA,NA,NA,NA,NA,"145725.3504","0.0925","0.0786048994492965","0.171104899449296",NA,"1928","C","25.2","197996.4","0.08","182156.688","0.2","4","0","0","106.459071941408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","16-19-108-007-0000","16-19-108-007-0000 16-19-108-008-0000 16-19-108-009-0000 16-19-108-010-0000 16-19-108-011-0000 16-19-108-012-0000 16-19-108-041-0000","1321  HARLEM BERWYN","11001","5-97 5-90 5-90 5-97 5-97 5-97 5-97","112:SPECIAL-SELF STORAGE","48994",NA,"10964000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"79868",NA,NA,NA,NA,NA,"1519712.3304","0.06","0.0786048672183834","0.138604867218383",NA,"1958","B","26.4","2108515.2","0.07","1960919.136","0.225","4","0","0","137.280893390418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","16-19-116-047-0000","16-19-116-047-0000","1441  HARLEM BERWYN","11001","5-92","57:OFFICE-SINGLETENANT","11728",NA,"868000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"8242",NA,NA,NA,NA,NA,"139838.88204","0.0825","0.078604778","0.161104778",NA,"1966","B","21.78","179510.76","0.05","170535.222","0.18","4","0","0","105.314194964472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","16-19-131-040-0000","16-19-131-040-0000 16-19-131-041-0000","1542  OAK PARK BERWYN","11001","5-22 5-90","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","8234",NA,"209000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"1971",NA,NA,NA,NA,NA,"36250.632","0.095","0.0786043716750632","0.173604371675063",NA,"1944","C","24.2","47698.2","0.05","45313.29","0.2","6","0","0","105.942032579827",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","16-19-231-035-0000","16-19-231-035-0000","6401 S 16TH BERWYN","11001","5-97","97:SPECIAL-DAY CARE FACILITY  ALL TYPES","11086",NA,"620000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"8511",NA,NA,NA,NA,NA,"98319.072","0.08","0.0786049490290449","0.158604949029045",NA,"1928","C","16","136176","0.05","129367.2","0.24","4","0","0","72.835053828519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","16-19-301-005-0000","16-19-301-005-0000","7114  16TH BERWYN","11001","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","2812",NA,"113000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"952",NA,NA,NA,NA,NA,"19578.4512","0.095","0.078604778","0.173604778",NA,"1951","C","26.4","25132.8","0.05","23876.16","0.18","6","0","0","118.462177348598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","16-19-304-042-0000","16-19-304-042-0000","1608  CLINTON BERWYN","11001","5-97","97:SPECIAL-DAY CARE FACILITY  ALL TYPES","7524",NA,"448000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"4245",NA,NA,NA,NA,NA,"70976.4","0.08","0.0786055035714035","0.158605503571404",NA,"1927","C","22","93390","0.05","88720.5","0.2","4","0","0","105.418788273464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","16-19-306-001-0000","16-19-306-001-0000 16-19-306-002-0000","6844  16TH BERWYN","11001","5-22 5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","10131",NA,"375000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3892",NA,NA,NA,NA,NA,"65074.24","0.095","0.0786045178304102","0.17360451783041",NA,"1926","C","22","85624","0.05","81342.8","0.2","6","0","0","96.3108576260287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","16-19-306-039-0000","16-19-306-039-0000","6838  16TH BERWYN","11001","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","12385",NA,"680000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"12300",NA,NA,NA,NA,NA,"118121.328","0.095","0.0786049461734563","0.173604946173456",NA,"1925","C","12.96","159408","0.05","151437.6","0.22","6","0","0","55.3173179202214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","16-19-326-031-0000","16-19-326-031-0000","7034  CERMAK BERWYN","11033","5-92","54:OFFICE-MEDICAL OFFICE BUILDINGS/SPACES","3240",NA,"349000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3668",NA,NA,NA,NA,NA,"59697.316224","0.0925","0.0786053496669551","0.171105349666955",NA,"1962","C","22.68","83190.24","0.08","76535.0208","0.22","4","0","0","95.1178208728044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","16-19-328-031-0000","16-19-328-030-0000 16-19-328-031-0000 16-19-328-032-0000 16-19-328-033-0000","6934  CERMAK BERWYN","11033","5-22 5-22 5-22 5-22","59:RETAIL-AUTOMOTIVE QUICK LUBE","13970",NA,"442000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"1971",NA,NA,NA,NA,NA,"65396.140128","0.0825","0.078606961478186","0.161106961478186",NA,"1986","B","42.592","83948.832","0.05","79751.3904","0.18","6","2144","36448","205.944967837361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","16-19-331-020-0000","16-19-331-020-0000","2136  OAK PARK BERWYN","11030","5-28","68:RETAIL-BANKS, SMALL FORMAT","4441",NA,"599000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3740",NA,NA,NA,NA,NA,"95049.856","0.08","0.0786043531116048","0.158604353111605",NA,"1928","C","35.2","131648","0.05","125065.6","0.24","8","0","0","154.257162053059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","16-19-400-035-0000","16-19-400-035-0000","6728  16TH BERWYN","11001","5-32","71:RETAIL-BOWLING ALLEY","15618",NA,"460000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"10256",NA,NA,NA,NA,NA,"77574.12768","0.09","0.0786045427838207","0.168604542783821",NA,"1941","C","11.34","116303.04","0.08","106998.7968","0.275","4","0","0","44.8610688366685",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","16-19-401-006-0000","16-19-401-006-0000","6714  16TH BERWYN","11001","5-97","94:SPECIAL-ASSM./MEET/RELIGIOUS FACILITY","6248",NA,"380000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3000",NA,NA,NA,NA,NA,"62210.94","0.085","0.0786049943996102","0.16360499439961",NA,"1926","C","26.62","79860","0.05","75867","0.18","4","0","0","126.750287031882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","16-19-401-008-0000","16-19-401-008-0000 16-19-401-009-0000","6704 W 16TH BERWYN","11001","5-17 5-26","76:RETAIL-SINGLE TENANT","7389",NA,"297000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3312",NA,NA,NA,NA,NA,"48593.0016","0.085","0.078604461556918","0.163604461556918",NA,"1926","C","19.8","65577.6","0.05","62298.72","0.22","4","0","0","89.6784834617464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","16-19-404-001-0000","16-19-404-001-0000","1601 W 16TH BERWYN","11001","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","6226",NA,"138000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"1152",NA,NA,NA,NA,NA,"23889.00096","0.095","0.078604163020944","0.173604163020944",NA,"1932","C","26.62","30666.24","0.05","29132.928","0.18","6","0","0","119.449785299781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","16-19-425-023-0000","16-19-425-023-0000 16-19-425-029-0000","6714  CERMAK BERWYN","11014","5-92 5-92","77:RETAIL-MULTI TENANT","5461",NA,"319000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3168",NA,NA,NA,NA,NA,"52968.96","0.0875","0.0786056854633516","0.166105685463352",NA,"1951","C","22","69696","0.05","66211.2","0.2","4","0","0","100.658806189322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","16-19-425-025-0000","16-19-425-025-0000 16-19-425-026-0000 16-19-425-027-0000 16-19-425-028-0000","6700 W CERMAK BERWYN","11030","5-92 5-92 5-90 5-90","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","13497",NA,"1144000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"9800",NA,NA,NA,NA,NA,"181388.592","0.08","0.0786058222126504","0.15860582221265",NA,"1957","A","23.76","232848","0.05","221205.6","0.18","6","0","0","116.698364169659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","16-19-426-020-0000","16-19-426-020-0000 16-19-426-021-0000 16-19-426-022-0000 16-19-426-024-0000","2139  WESLEY BERWYN","11014","5-28 5-28 5-28 5-97","68:RETAIL-BANKS, SMALL FORMAT","19964",NA,"1164000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"6123",NA,NA,NA,NA,NA,"184687.31424","0.08","0.0786053017879178","0.158605301787918",NA,"1960","C","38.72","237082.56","0.05","225228.432","0.18","8","0","0","123.614228395822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","16-19-428-027-0000","16-19-428-027-0000 16-19-428-028-0000 16-19-428-029-0000","6532  CERMAK BERWYN","11014","5-28 5-28 5-28","67:RETAIL-BANKS","10201",NA,"1662000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"10295",NA,NA,NA,NA,NA,"247009.994","0.07","0.0786050430682762","0.148605043068276",NA,"1965","B","30.8","317086","0.05","301231.7","0.18","6","0","0","161.456162621456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","16-19-431-022-0000","16-19-431-022-0000","6400  CERMAK BERWYN","11014","5-28","68:RETAIL-BANKS, SMALL FORMAT","22865",NA,"1618000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"6440",NA,NA,NA,NA,NA,"240383.07216","0.07","0.078604831930386","0.148604831930386",NA,"1990","A","47.916","308579.04","0.05","293150.088","0.18","8","0","0","251.180015583111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","16-20-101-001-0000","16-20-101-001-0000 16-20-101-002-0000","6325  ROOSEVELT BERWYN","11011","5-22 5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","7040",NA,"218000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"2585",NA,NA,NA,NA,NA,"37926.603","0.095","0.0786060811512127","0.173606081151213",NA,"1956","C","19.8","51183","0.05","48623.85","0.22","6","0","0","84.5120165302315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","16-20-102-008-0000","16-20-102-008-0000","6231  ROOSEVELT BERWYN","11011","5-92","57:OFFICE-SINGLETENANT","3252",NA,"162000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"1677",NA,NA,NA,NA,NA,"27759.0456","0.0925","0.078604778","0.171104778",NA,"1916","C","21.78","36525.06","0.05","34698.807","0.2","4","0","0","96.7407233946442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","16-20-102-009-0000","16-20-102-009-0000","6227  ROOSEVELT BERWYN","11011","5-97","97:SPECIAL-DAY CARE FACILITY  ALL TYPES","7036",NA,"395000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3750",NA,NA,NA,NA,NA,"62700","0.08","0.078604778","0.158604778",NA,"1920","C","22","82500","0.05","78375","0.2","4","0","0","105.419270534208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","16-20-123-042-0000","16-20-123-042-0000","6339  16TH BERWYN","11001","5-22","58:RETAIL-AUTOMOTIVE SERVICE GARAGE","4630",NA,"207000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"1904",NA,NA,NA,NA,NA,"35893.8272","0.095","0.0786043573769271","0.173604357376927",NA,"1924","C","24.2","46076.8","0.05","43772.96","0.18","6","0","0","108.590592337894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","16-20-329-019-0000","16-20-329-019-0000","2150  CERMAK BERWYN","11014","5-92","77:RETAIL-MULTI TENANT","6613",NA,"902000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"9954",NA,NA,NA,NA,NA,"149787.792","0.0875","0.078604778","0.166104778",NA,"2019","C","19.8","197089.2","0.05","187234.74","0.2","4","0","0","90.5934204975127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","16-20-331-029-0000","16-20-331-029-0000","6236  CERMAK BERWYN","11014","5-92","57:OFFICE-SINGLETENANT","3259",NA,"305000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"3125",NA,NA,NA,NA,NA,"52250","0.0925","0.0786054487636342","0.171105448763634",NA,"1927","C","22","68750","0.05","65312.5","0.2","4","0","0","97.717519347365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","16-29-101-001-0000","16-29-101-001-0000","6323 W CERMAK BERWYN","11013","5-30","92:RETAIL-GROCERY STORES","12556",NA,"942000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"11931",NA,NA,NA,NA,NA,"159589.056","0.08","0.089372969","0.169372969",NA,"1968","C","17.6","209985.6","0.05","199486.32","0.2","4","0","0","75.8642920552065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","16-29-103-003-0000","16-29-103-003-0000","6217  CERMAK BERWYN","11013","5-97","97:SPECIAL-DAY CARE FACILITY  ALL TYPES","6748",NA,"580000",NA,NA,"Specials","Berwyn 2026 T11.PublicModel (1).xlsx",NA,"5880",NA,NA,NA,NA,NA,"98313.6","0.08","0.0893733315869478","0.169373331586948",NA,"1924","C","22","129360","0.05","122892","0.2","4","0","0","98.7168395599327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
